,Artist,Name,Album,Release Date,Popularity,Duration (s),Explicit,Danceability,Energy,Key,Mode,Valence,Tempo,Loudness,Liveness,Instrumentalness,Acousticness,Virality
77,Taylor Swift,Sparks Fly (Taylor’s Version),Speak Now (Taylor's Version),2023-07-07,72.0,261.23,0,0.605,0.769,5,1,0.366,114.921,-2.413,0.0936,0.0,0.0241,0
78,Taylor Swift,Back To December (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,75.0,294.189,0,0.486,0.635,2,1,0.235,141.868,-3.994,0.119,0.0,0.00705,0
79,Taylor Swift,Speak Now (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,70.0,242.473,0,0.734,0.686,7,1,0.598,119.002,-2.926,0.136,0.0,0.225,0
80,Taylor Swift,Dear John (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,70.0,405.906,0,0.379,0.468,4,1,0.115,119.447,-5.07,0.158,0.0,0.0327,0
81,Taylor Swift,Mean (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,70.0,238.693,0,0.526,0.7,4,1,0.596,163.949,-3.95,0.213,0.0,0.321,0
82,Taylor Swift,The Story Of Us (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,70.0,267.653,0,0.516,0.784,4,1,0.552,139.787,-2.636,0.0499,0.0,0.00136,0
83,Taylor Swift,Never Grow Up (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,66.0,292.92,0,0.684,0.339,2,1,0.572,125.054,-7.259,0.194,0.0,0.867,0
84,Taylor Swift,Enchanted (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,81.0,353.253,0,0.52,0.553,8,1,0.227,81.949,-3.546,0.165,0.0,0.016,1
85,Taylor Swift,Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,72.0,220.306,0,0.505,0.893,11,0,0.659,145.913,-3.013,0.178,0.0,0.000795,0
86,Taylor Swift,Innocent (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,63.0,301.221,0,0.524,0.611,1,0,0.126,133.583,-5.298,0.127,0.0,0.0972,0
87,Taylor Swift,Haunted (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,69.0,245.413,0,0.44,0.916,5,1,0.371,162.025,-1.927,0.252,0.0,0.00552,0
88,Taylor Swift,Last Kiss (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,69.0,369.12,0,0.557,0.362,10,1,0.187,79.573,-8.641,0.1,3.57e-06,0.443,0
89,Taylor Swift,Long Live (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,75.0,317.96,0,0.38,0.628,0,1,0.0984,203.826,-4.054,0.227,0.0,0.0162,0
90,Taylor Swift,Ours (Taylor’s Version),Speak Now (Taylor's Version),2023-07-07,66.0,235.803,0,0.539,0.475,0,1,0.293,159.824,-8.411,0.109,0.0,0.42,0
91,Taylor Swift,Superman (Taylor’s Version),Speak Now (Taylor's Version),2023-07-07,63.0,274.945,0,0.537,0.733,7,1,0.347,131.898,-3.506,0.11,0.0,0.00207,0
92,Taylor Swift,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,68.0,266.466,0,0.547,0.854,7,1,0.26,131.068,-4.753,0.156,0.0,0.018,0
