,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s,time_signature,popularity,release_date,explicit,release_year,virality
2136,-1.0274635879407,-2.04901106812828,5,-0.5104738161004658,1,0.0414,1.9593429448738116,-0.22580617819372714,0.7032129480939419,-0.7609834836870034,-1.5768519222056776,-0.6976080181735721,1,-0.7872624699118144,2022-10-17,0,2022.0,0
2137,-1.3150707773239458,-2.0876043519423306,0,-0.798621348508162,1,0.0451,1.7350912425785263,-0.2258151852612857,-0.5751927045447326,-0.8845992346102979,0.28245192529911317,0.253040447989216,3,-0.7872624699118144,2022-10-19,0,2022.0,0
2138,-1.1516576015380109,-1.2578487499402375,4,-0.9826658904290192,1,0.0636,0.5116003374086598,-0.2258151852612857,-0.569133909982464,0.3259826020178282,0.9218840519751942,-0.10328658165810176,3,1.3097028119897562,2022-08-02,0,2022.0,0
2139,0.959640629616272,0.4306074169244864,4,-0.4702047510124339,0,0.237,0.33351810323299197,-0.22570136868031865,-0.6351747707111917,0.4495983529411228,0.9269453431178316,0.26492836736772324,4,0.5999607165769169,2022-10-06,0,2022.0,0
2140,0.4301819400698422,-0.35090658031004274,7,-0.911673020125674,1,0.0974,-0.5799778017051563,-0.2258151852612857,-0.3510173057407945,0.5902645522676306,1.1808143438750067,0.029977367237015117,3,0.6967437295877585,2022-10-06,0,2022.0,0
2141,-1.0274635879407,-2.04901106812828,5,-0.5104738161004658,1,0.0414,1.9593429448738116,-0.22580617819372714,0.7032129480939419,-0.7609834836870034,-1.5768519222056776,-0.6976080181735721,1,-0.7872624699118144,2022-10-19,0,2022.0,0
2142,-1.3150707773239458,-2.0876043519423306,0,-0.798621348508162,1,0.0451,1.7350912425785263,-0.2258151852612857,-0.5751927045447326,-0.8845992346102979,0.28245192529911317,0.253040447989216,3,-0.7872624699118144,2022-10-19,0,2022.0,0
2143,-1.0274635879407,-2.04901106812828,5,-0.5104738161004658,1,0.0414,1.9593429448738116,-0.22580617819372714,0.7032129480939419,-0.7609834836870034,-1.5768519222056776,-0.6976080181735721,1,-0.7872624699118144,2022-10-17,0,2022.0,0
2144,-1.0274635879407,-2.04901106812828,5,-0.5104738161004658,1,0.0414,1.9593429448738116,-0.22580617819372714,0.7032129480939419,-0.7609834836870034,-1.5768519222056776,-0.6976080181735721,1,-0.7872624699118144,2022-10-19,0,2022.0,0
2145,-1.0274635879407,-2.04901106812828,5,-0.5104738161004658,1,0.0414,1.9593429448738116,-0.22580617819372714,0.7032129480939419,-0.7609834836870034,-1.5768519222056776,-0.6976080181735721,1,-0.7872624699118144,2022-10-20,0,2022.0,0
