,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_s,explicit,virality
298,0.658,0.977,5,-3.117,0,0.00565,0.0,0.277,0.583,126.072,291.494,0,0
299,0.67,0.892,7,-1.868,1,0.0583,0.0,0.191,0.775,90.052,184.555,0,0
300,0.67,0.892,7,-1.868,1,0.0583,0.0,0.191,0.775,90.052,184.555,0,0
301,0.67,0.892,7,-1.868,1,0.0583,0.0,0.191,0.775,90.052,184.555,0,0
302,0.67,0.892,7,-1.868,1,0.0583,0.0,0.191,0.775,90.052,184.555,0,0
303,0.799,0.97,9,-1.416,0,0.0831,0.0,0.15,0.892,95.987,202.0,0,0
304,0.799,0.97,9,-1.416,0,0.0831,0.0,0.15,0.892,95.987,202.0,0,0
305,0.799,0.97,9,-1.416,0,0.0831,0.0,0.15,0.892,95.987,202.0,0,0
306,0.799,0.97,9,-1.416,0,0.0831,0.0,0.15,0.892,95.987,202.0,0,0
307,0.658,0.881,0,-3.607,0,0.00107,0.0,0.129,0.965,144.995,172.293,0,0
308,0.658,0.881,0,-3.607,0,0.00107,0.0,0.129,0.965,144.995,172.293,0,0
309,0.658,0.881,0,-3.607,0,0.00107,0.0,0.129,0.965,144.995,172.293,0,0
310,0.658,0.881,0,-3.607,0,0.00107,0.0,0.129,0.965,144.995,172.293,0,0
311,0.586,0.417,7,-10.953,1,0.772,0.00517,0.0798,0.398,115.864,221.627,0,0
312,0.586,0.417,7,-10.953,1,0.772,0.00517,0.0798,0.398,115.864,221.627,0,0
313,0.586,0.417,7,-10.953,1,0.772,0.00517,0.0798,0.398,115.864,221.627,0,0
314,0.586,0.417,7,-10.953,1,0.772,0.00517,0.0798,0.398,115.864,221.627,0,0
315,0.459,0.602,9,-7.315,1,0.0863,1.27e-05,0.145,0.159,145.343,254.013,0,0
316,0.459,0.602,9,-7.315,1,0.0863,1.27e-05,0.145,0.159,145.343,254.013,0,0
317,0.459,0.602,9,-7.315,1,0.0863,1.27e-05,0.145,0.159,145.343,254.013,0,0
318,0.459,0.602,9,-7.315,1,0.0863,1.27e-05,0.145,0.159,145.343,254.013,0,0
319,0.561,0.853,9,-3.452,0,0.00307,0.000147,0.416,0.393,93.983,233.258,0,0
320,0.561,0.853,9,-3.452,0,0.00307,0.000147,0.416,0.393,93.983,233.258,0,0
321,0.561,0.853,9,-3.452,0,0.00307,0.000147,0.416,0.393,93.983,233.258,0,0
322,0.561,0.853,9,-3.452,0,0.00307,0.000147,0.416,0.393,93.983,233.258,0,0
323,0.487,0.816,0,-7.916,1,0.0418,0.788,0.13,0.523,102.096,328.932,0,0
324,0.487,0.816,0,-7.916,1,0.0418,0.788,0.13,0.523,102.096,328.932,0,0
325,0.487,0.816,0,-7.916,1,0.0418,0.788,0.13,0.523,102.096,328.932,0,0
326,0.487,0.816,0,-7.916,1,0.0418,0.788,0.13,0.523,102.096,328.932,0,0
327,0.674,0.55,11,-9.682,0,0.000642,0.906,0.108,0.0549,127.994,426.563,0,0
328,0.53,0.637,7,-7.777,0,0.513,0.0,0.398,0.919,126.276,275.227,0,0
329,0.819,0.236,7,-16.775,0,0.757,0.00372,0.0644,0.541,118.591,149.067,0,0
330,0.687,0.443,5,-6.457,0,0.637,0.0,0.275,0.702,96.017,207.0,0,0
331,0.311,0.664,9,-8.179,1,0.189,7.34e-06,0.129,0.356,146.292,157.613,0,0
332,0.443,0.882,7,-7.718,1,0.00326,0.0,0.371,0.486,94.861,272.695,0,0
333,0.62,0.789,1,-6.765,1,0.298,5.11e-06,0.176,0.431,89.994,269.5,0,0
334,0.66,0.738,11,-5.737,0,0.0559,0.0682,0.123,0.141,100.008,268.613,0,0
335,0.313,0.57,6,-8.447,1,0.0341,1.66e-05,0.132,0.427,144.973,406.04,0,0
336,0.761,0.646,11,-12.886,1,0.445,0.00124,0.0929,0.457,83.977,177.143,0,0
337,0.639,0.842,3,-4.25,0,0.135,0.00013,0.0984,0.355,98.023,253.64,0,0
338,0.639,0.905,8,-8.348,0,0.0154,0.0914,0.342,0.813,135.006,244.187,0,0
339,0.478,0.854,7,-5.454,1,0.02,1.12e-06,0.115,0.274,91.856,274.16,0,0
340,0.478,0.854,7,-5.454,1,0.02,1.12e-06,0.115,0.274,91.856,274.16,0,0
341,0.478,0.854,7,-5.454,1,0.02,1.12e-06,0.115,0.274,91.856,274.16,0,0
342,0.478,0.854,7,-5.454,1,0.02,1.12e-06,0.115,0.274,91.856,274.16,0,0
343,0.466,0.309,0,-10.153,1,0.813,0.0012,0.0863,0.175,93.062,252.05,0,0
344,0.466,0.309,0,-10.153,1,0.813,0.0012,0.0863,0.175,93.062,252.05,0,0
345,0.466,0.309,0,-10.153,1,0.813,0.0012,0.0863,0.175,93.062,252.05,0,0
346,0.466,0.309,0,-10.153,1,0.813,0.0012,0.0863,0.175,93.062,252.05,0,0
347,0.323,0.188,5,-17.997,1,0.955,0.000176,0.713,0.263,85.249,193.947,0,0
348,0.323,0.188,5,-17.997,1,0.955,0.000176,0.713,0.263,85.249,193.947,0,0
349,0.323,0.188,5,-17.997,1,0.955,0.000176,0.713,0.263,85.249,193.947,0,0
350,0.323,0.188,5,-17.997,1,0.955,0.000176,0.713,0.263,85.249,193.947,0,0
351,0.602,0.587,1,-6.649,1,0.778,0.0,0.0801,0.488,151.92,487.357,0,0
352,0.55,0.82,8,-8.291,1,0.0231,0.0015,0.0543,0.672,186.118,325.225,0,0
353,0.478,0.539,2,-9.307,0,0.927,0.000128,0.0735,0.701,135.363,198.48,0,0
354,0.478,0.539,2,-9.307,0,0.927,0.000128,0.0735,0.701,135.363,198.48,0,0
355,0.478,0.539,2,-9.307,0,0.927,0.000128,0.0735,0.701,135.363,198.48,0,0
356,0.478,0.539,2,-9.307,0,0.927,0.000128,0.0735,0.701,135.363,198.48,0,0
357,0.465,0.507,9,-7.948,1,0.796,2.73e-06,0.145,0.294,101.596,216.267,0,0
358,0.465,0.507,9,-7.948,1,0.796,2.73e-06,0.145,0.294,101.596,216.267,0,0
359,0.465,0.507,9,-7.948,1,0.796,2.73e-06,0.145,0.294,101.596,216.267,0,0
360,0.465,0.507,9,-7.948,1,0.796,2.73e-06,0.145,0.294,101.596,216.267,0,0
361,0.412,0.752,8,-1.521,1,0.606,0.000124,0.671,0.402,114.49,597.898,0,0
362,0.734,0.559,9,-9.141,1,0.322,0.0,0.0968,0.648,99.994,167.969,0,0
363,0.374,0.223,8,-13.699,1,0.984,5.54e-06,0.94,0.565,91.102,201.59,0,0
364,0.526,0.403,0,-12.795,0,0.983,0.0,0.276,0.615,86.745,295.333,0,0
365,0.41,0.649,11,-7.903,0,0.284,5.08e-06,0.574,0.475,144.074,328.898,0,0
366,0.583,0.608,4,-8.68,0,0.491,0.495,0.234,0.918,105.403,221.507,0,0
367,0.767,0.672,9,-4.463,0,0.558,0.0,0.128,0.735,130.786,286.533,0,0
368,0.404,0.0995,0,-14.59,0,0.991,0.000131,0.129,0.224,103.646,374.439,0,0
369,0.476,0.361,11,-9.312,1,0.518,0.0,0.0817,0.389,106.484,190.853,0,0
370,0.639,0.398,0,-10.991,1,0.806,0.00838,0.108,0.34,89.957,205.139,0,0
371,0.537,0.721,4,-7.361,0,0.0532,2.92e-05,0.325,0.836,126.913,191.933,0,0
372,0.668,0.293,9,-15.781,1,0.0541,0.0015,0.0878,0.543,78.02,218.427,0,0
373,0.587,0.857,0,-3.434,1,0.468,0.0,0.131,0.873,199.954,268.294,0,0
374,0.532,0.313,2,-9.212,1,0.98,0.0464,0.0898,0.34,140.837,59.907,0,0
375,0.532,0.763,0,-8.565,1,0.258,0.0,0.0936,0.729,116.737,177.66,0,0
376,0.556,0.764,4,-8.165,0,0.617,2.33e-05,0.0979,0.911,124.551,223.89,0,0
377,0.566,0.447,0,-8.699,1,0.748,0.698,0.0886,0.913,178.581,184.295,0,0
378,0.654,0.517,1,-4.314,0,0.639,0.0,0.284,0.685,132.082,227.08,0,0
379,0.66,0.579,3,-11.722,0,0.193,6.83e-05,0.0965,0.962,92.113,415.922,0,0
380,0.382,0.34,5,-8.208,1,0.755,0.0,0.14,0.312,118.029,223.373,0,0
381,0.702,0.689,6,-11.171,1,0.736,5.02e-05,0.305,0.964,102.938,194.027,0,0
382,0.513,0.573,9,-4.721,0,0.783,0.0,0.17,0.893,87.901,135.8,0,0
383,0.626,0.572,7,-8.375,1,0.0647,0.0,0.246,0.64,137.018,34.25,0,0
384,0.487,0.232,5,-12.657,0,0.824,9.79e-06,0.117,0.351,115.267,174.733,0,0
385,0.432,0.751,2,-7.33,1,0.0173,0.0741,0.111,0.746,129.859,244.733,0,0
386,0.354,0.604,0,-9.561,1,0.0724,4.63e-06,0.253,0.599,168.889,184.845,0,0
387,0.743,0.625,8,-5.296,1,0.296,0.0,0.148,0.31,114.897,240.689,0,0
388,0.516,0.362,1,-11.36,0,0.719,0.000229,0.0861,0.318,92.026,173.133,0,0
389,0.656,0.814,9,-5.478,0,0.271,0.000123,0.262,0.302,105.025,208.28,0,0
390,0.419,0.918,9,-2.328,1,0.00335,0.938,0.0975,0.412,94.995,76.309,0,0
391,0.517,0.897,7,-3.392,1,0.0251,0.236,0.118,0.294,97.957,214.653,0,0
392,0.692,0.82,4,-4.031,0,0.292,0.000451,0.248,0.445,147.964,285.547,0,0
393,0.596,0.198,0,-13.303,1,0.731,0.0025,0.113,0.306,103.118,192.096,0,0
394,0.593,0.531,2,-10.589,0,0.42,1.19e-05,0.141,0.469,120.536,329.64,0,0
395,0.638,0.95,7,-5.8,1,0.00203,9.37e-05,0.0794,0.0968,127.957,270.0,0,0
396,0.631,0.377,7,-11.88,1,0.653,0.000246,0.0811,0.383,88.488,280.333,0,0
397,0.598,0.514,2,-8.728,1,0.177,0.0145,0.14,0.703,123.389,328.68,0,0
398,0.745,0.973,7,0.214,1,0.659,2.82e-06,0.754,0.892,117.976,326.845,0,0
399,0.755,0.879,0,-5.389,1,0.0272,2.3e-05,0.124,0.678,96.597,278.533,0,0
400,0.71,0.81,9,-13.507,0,0.053,0.000721,0.0875,0.503,120.364,47.856,0,0
401,0.568,0.319,2,-14.623,1,0.502,2.25e-06,0.441,0.582,183.512,82.707,0,0
402,0.627,0.741,5,-7.245,1,0.0592,0.0315,0.103,0.529,99.998,304.08,0,0
403,0.45,0.432,0,-8.008,1,0.743,0.0,0.0799,0.706,203.847,229.107,0,0
404,0.791,0.939,7,-6.633,1,0.21,0.0,0.326,0.739,114.986,553.613,0,0
405,0.301,0.288,8,-8.223,1,0.967,0.0,0.227,0.487,164.774,135.307,0,0
