,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,release_date,explicit
1627,0.706,0.644,11,-6.055,0,0.297,0.125,0.0,0.108,0.624,149.452,181640,4,0,2022-10-12,False
1628,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,183066,4,2,2022-10-07,False
1629,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,183066,4,2,2022-10-12,False
1630,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,183066,4,0,2022-10-18,False
1631,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,183066,4,2,2022-10-12,False
1632,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,183066,4,1,2022-10-13,False
1633,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,183066,4,0,2022-10-17,False
1634,0.409,0.57,6,-10.54,0,0.0711,0.687,0.0,0.173,0.336,128.657,223613,4,0,2022-10-20,False
1635,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,183066,4,0,2022-10-20,False
1636,0.533,0.426,9,-9.525,0,0.0297,0.46,0.0,0.1,0.152,103.267,216426,3,3,2022-10-09,False
1637,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,183066,4,0,2022-10-21,False
1638,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,183066,4,1,2022-10-17,False
1639,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,183066,4,0,2022-10-17,False
1640,0.533,0.426,9,-9.525,0,0.0297,0.46,0.0,0.1,0.152,103.267,216426,3,0,2022-10-18,False
1641,0.533,0.426,9,-9.525,0,0.0297,0.46,0.0,0.1,0.152,103.267,216426,3,1,2022-10-14,False
1642,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,183066,4,0,2022-10-19,False
1643,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,183066,4,0,2022-10-21,False
1644,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,183066,4,0,2022-10-21,False
1645,0.658,0.679,10,-8.606,0,0.0361,0.0207,3.15e-06,0.198,0.42,94.489,185560,4,0,2022-10-19,False
1646,0.679,0.748,0,-3.624,0,0.0385,0.0878,0.0,0.299,0.438,100.035,200786,4,0,2022-10-21,False
1647,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,183066,4,0,2022-10-20,False
